"","County","Date","Year","taxon_name","mass","sex","tail","wing.chord","anterior.culmen","posterior.culmen","tarsus","Age","mean_trachea_length","trachea.diameter","sample_year","data.origin","NK"
"105","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,523,NA,87,234,"ADULT",NA,NA,86,"NMDGF",NA
"106","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,92,228,"ADULT",NA,NA,86,"NMDGF",NA
"107","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,525,NA,89,222,"ADULT",NA,NA,86,"NMDGF",NA
"108","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,526,NA,102,242,"ADULT",NA,NA,86,"NMDGF",NA
"109","2",0086-10-24,1986,"Antigone canadensis tabida",NA,"F",NA,514,NA,96,238,"ADULT",NA,NA,86,"NMDGF",NA
"110","3",0086-10-24,1986,"Antigone canadensis tabida",NA,"M",NA,520,NA,114,229,"ADULT",NA,NA,86,"NMDGF",NA
"111","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,537,NA,91,218,"ADULT",NA,NA,86,"NMDGF",NA
"112","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,531,NA,102,240,"ADULT",NA,NA,86,"NMDGF",NA
"113","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,544,NA,93,232,"ADULT",NA,NA,86,"NMDGF",NA
"114","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,556,NA,103,241,"ADULT",NA,NA,86,"NMDGF",NA
"115","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,557,NA,100,243,"ADULT",NA,NA,86,"NMDGF",NA
"116","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,542,NA,101,238,"ADULT",NA,NA,86,"NMDGF",NA
"117","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,538,NA,102,236,"ADULT",NA,NA,86,"NMDGF",NA
"118","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,515,NA,100,230,"ADULT",NA,NA,86,"NMDGF",NA
"119","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,554,NA,108,235,"ADULT",NA,NA,86,"NMDGF",NA
"120","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,541,NA,99,245,"ADULT",NA,NA,86,"NMDGF",NA
"121","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,519,NA,98,248,"ADULT",NA,NA,86,"NMDGF",NA
"122","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,541,NA,106,225,"ADULT",NA,NA,86,"NMDGF",NA
"123","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,508,NA,97,235,"ADULT",NA,NA,86,"NMDGF",NA
"124","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,541,NA,102,253,"ADULT",NA,NA,86,"NMDGF",NA
"125","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,527,NA,113,233,"ADULT",NA,NA,86,"NMDGF",NA
"126","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,528,NA,101,256,"ADULT",NA,NA,86,"NMDGF",NA
"127","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,510,NA,107,254,"ADULT",NA,NA,86,"NMDGF",NA
"128","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,511,NA,102,245,"ADULT",NA,NA,86,"NMDGF",NA
"129","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,537,NA,96,250,"ADULT",NA,NA,86,"NMDGF",NA
"130","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,515,NA,98,245,"ADULT",NA,NA,86,"NMDGF",NA
"131","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,97,230,"ADULT",NA,NA,86,"NMDGF",NA
"132","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,485,NA,93,235,"ADULT",NA,NA,86,"NMDGF",NA
"133","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,535,NA,98,241,"ADULT",NA,NA,86,"NMDGF",NA
"134","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,NA,NA,97,NA,"ADULT",NA,NA,86,"NMDGF",NA
"135","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,567,NA,95,234,"ADULT",NA,NA,86,"NMDGF",NA
"136","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,551,NA,96,242,"ADULT",NA,NA,86,"NMDGF",NA
"137","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,512,NA,92,221,"ADULT",NA,NA,86,"NMDGF",NA
"138","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,536,NA,91,240,"UNKNOWN",NA,NA,86,"NMDGF",NA
"139","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,540,NA,103,237,"ADULT",NA,NA,86,"NMDGF",NA
"140","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,535,NA,94,227,"ADULT",NA,NA,86,"NMDGF",NA
"141","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,509,NA,97,232,"ADULT",NA,NA,86,"NMDGF",NA
"142","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,534,NA,93,227,"ADULT",NA,NA,86,"NMDGF",NA
"143","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,550,NA,90,242,"ADULT",NA,NA,86,"NMDGF",NA
"144","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,513,NA,93,220,"ADULT",NA,NA,86,"NMDGF",NA
"145","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,499,NA,91,227,"ADULT",NA,NA,86,"NMDGF",NA
"146","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,575,NA,103,231,"ADULT",NA,NA,86,"NMDGF",NA
"147","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,532,NA,98,227,"ADULT",NA,NA,86,"NMDGF",NA
"148","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,519,NA,91,237,"ADULT",NA,NA,86,"NMDGF",NA
"149","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,532,NA,105,242,"ADULT",NA,NA,86,"NMDGF",NA
"150","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,531,NA,117,241,"ADULT",NA,NA,86,"NMDGF",NA
"151","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,530,NA,94,217,"ADULT",NA,NA,86,"NMDGF",NA
"152","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,528,NA,93,212,"ADULT",NA,NA,86,"NMDGF",NA
"153","2",0086-10-25,1986,"Antigone canadensis tabida",NA,"M",NA,526,NA,95,237,"ADULT",NA,NA,86,"NMDGF",NA
"154","3",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,520,NA,90,240,"ADULT",NA,NA,86,"NMDGF",NA
"155","3",0086-10-25,1986,"Antigone canadensis tabida",NA,"F",NA,515,NA,98,217,"ADULT",NA,NA,86,"NMDGF",NA
"156","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,500,NA,93,215,"ADULT",NA,NA,86,"NMDGF",NA
"157","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"F",NA,500,NA,101,225,"ADULT",NA,NA,86,"NMDGF",NA
"158","2",0086-10-26,1986,"Antigone canadensis tabida",NA,"M",NA,550,NA,99,244,"ADULT",NA,NA,86,"NMDGF",NA
